NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Miguel Montero,ARI,2012,1,C,28,141,573,486,65,139,25,2,15,88,0,0,73,130,0.286,0.391,0.438,0.829,123,213,15,12,0,2,6
Paul Goldschmidt,ARI,2012,2,1B,24,145,587,514,82,147,43,1,20,82,18,3,60,130,0.286,0.359,0.49,0.85,126,252,9,4,0,9,4
Aaron Hill,ARI,2012,3,2B,30,156,668,609,93,184,44,6,26,85,14,5,52,86,0.302,0.36,0.522,0.882,133,318,15,4,1,2,7
Willie Bloomquist,ARI,2012,4,SS,34,80,338,324,47,98,21,5,0,23,7,10,12,55,0.302,0.325,0.398,0.724,94,129,5,0,0,2,0
Ryan Roberts,ARI,2012,5,3B,31,83,280,252,28,63,9,0,6,34,6,3,22,45,0.25,0.306,0.357,0.663,78,90,10,0,2,4,1
Jason Kubel,ARI,2012,6,LF,30,141,571,506,75,128,30,4,30,90,1,1,57,151,0.253,0.327,0.506,0.833,120,256,11,2,0,6,7
Chris Young,ARI,2012,7,CF,28,101,363,325,36,75,24,0,14,41,8,3,36,79,0.231,0.311,0.434,0.745,98,141,4,2,0,0,0
Justin Upton,ARI,2012,8,RF,24,150,628,554,107,155,24,4,17,67,18,8,63,121,0.28,0.355,0.43,0.785,110,238,7,5,0,6,5
Gerardo Parra,ARI,2012,9,OF,25,133,430,385,58,105,21,2,7,36,15,9,33,77,0.273,0.335,0.392,0.727,95,151,4,4,6,2,4
John McDonald,ARI,2012,10,SS,37,70,213,197,16,49,9,0,6,22,0,1,12,33,0.249,0.295,0.386,0.681,81,76,3,1,2,0,5
Chris Johnson,ARI,2012,11,3B,27,44,160,147,12,42,7,2,7,35,1,0,8,40,0.286,0.321,0.503,0.824,117,74,6,1,1,3,1
Stephen Drew,ARI,2012,12,SS,29,40,155,135,17,26,8,1,2,12,0,1,19,35,0.193,0.29,0.311,0.601,62,42,1,0,0,1,1
Ryan Wheeler,ARI,2012,13,3B,23,50,119,109,11,26,6,1,1,10,1,0,9,22,0.239,0.294,0.339,0.634,70,37,4,0,0,1,0
Lyle Overbay,ARI,2012,14,1B,35,45,110,96,11,28,9,0,2,10,0,0,12,26,0.292,0.367,0.448,0.815,118,43,3,0,0,1,2
Adam Eaton,ARI,2012,15,CF,23,22,103,85,19,22,3,2,2,5,2,3,14,15,0.259,0.382,0.412,0.794,114,35,0,3,1,0,0
A.J. Pollock,ARI,2012,16,OF,24,31,93,81,8,20,4,1,2,8,1,2,9,11,0.247,0.315,0.395,0.71,90,32,2,0,1,2,1
Cody Ransom,ARI,2012,17,3B,36,26,88,78,11,21,7,0,5,16,0,0,7,30,0.269,0.352,0.551,0.904,138,43,1,3,0,0,0
Jake Elmore,ARI,2012,18,SS,25,30,73,68,1,13,4,0,0,7,0,0,5,6,0.191,0.247,0.25,0.497,34,17,1,0,0,0,0
Henry Blanco,ARI,2012,19,C,40,21,67,64,6,12,3,0,1,7,1,0,3,18,0.188,0.224,0.281,0.505,35,18,1,0,0,0,0
Josh Bell,ARI,2012,20,3B,25,21,56,52,3,9,2,0,1,4,0,0,4,14,0.173,0.232,0.269,0.501,35,14,3,0,0,0,1
Wil Nieves,ARI,2012,21,C,34,16,38,36,4,11,1,0,1,3,0,1,1,8,0.306,0.324,0.417,0.741,98,15,0,0,1,0,1
Geoff Blum,ARI,2012,22,3B,39,17,31,28,1,4,0,0,0,1,0,0,2,7,0.143,0.194,0.143,0.336,-7,4,0,0,0,1,0
Mike Jacobs,ARI,2012,23,1B,31,13,23,19,4,4,1,0,0,2,0,0,4,6,0.211,0.348,0.263,0.611,68,5,0,0,0,0,1
Konrad Schmidt,ARI,2012,24,C,27,4,8,7,1,0,0,0,0,2,0,0,1,2,0.0,0.125,0.0,0.125,-62,0,0,0,0,0,0
Tyler Graham,ARI,2012,25,OF,28,10,2,2,1,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Wade Miley,ARI,2012,26,P,25,32,75,65,4,11,2,0,0,2,0,0,2,20,0.169,0.194,0.2,0.394,6,13,1,0,8,0,0
Ian Kennedy,ARI,2012,27,P,27,33,73,51,4,4,0,1,0,6,0,0,11,29,0.078,0.238,0.118,0.356,0,6,1,0,10,1,0
Trevor Cahill,ARI,2012,28,P,24,32,73,67,2,8,0,0,0,4,0,0,1,24,0.119,0.132,0.119,0.252,-31,8,1,0,5,0,0
Joe Saunders,ARI,2012,29,P,31,21,46,35,1,3,0,0,0,1,0,0,3,7,0.086,0.154,0.086,0.24,-33,3,0,0,7,1,0
Patrick Corbin,ARI,2012,30,P,22,22,43,36,3,4,0,1,0,4,0,0,1,17,0.111,0.135,0.167,0.302,-19,6,0,0,6,0,0
