NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Brian McCann,ATL,2012,1,C,28,121,487,439,44,101,14,0,20,67,3,0,44,76,0.23,0.3,0.399,0.698,87,175,15,1,0,3,7
Freddie Freeman,ATL,2012,2,1B,22,147,620,540,91,140,33,2,23,94,2,0,64,129,0.259,0.34,0.456,0.796,113,246,10,7,0,9,4
Dan Uggla,ATL,2012,3,2B,32,154,630,523,86,115,29,0,19,78,4,3,94,168,0.22,0.348,0.384,0.732,98,201,8,10,0,3,5
Paul Janish,ATL,2012,4,SS,29,55,186,167,18,31,6,1,0,9,1,0,17,30,0.186,0.269,0.234,0.502,38,39,1,2,0,0,0
Chipper Jones,ATL,2012,5,3B,40,112,448,387,58,111,23,0,14,62,1,0,57,51,0.287,0.377,0.455,0.832,124,176,15,1,0,3,6
Martin Prado,ATL,2012,6,LF,28,156,690,617,81,186,42,6,10,70,17,4,58,69,0.301,0.359,0.438,0.796,114,270,19,2,4,9,2
Michael Bourn,ATL,2012,7,CF,29,155,703,624,96,171,26,10,9,57,42,13,70,155,0.274,0.348,0.391,0.739,99,244,2,3,2,4,1
Jason Heyward,ATL,2012,8,RF,22,158,651,587,93,158,30,6,27,82,21,8,58,152,0.269,0.335,0.479,0.814,117,281,4,2,0,3,1
Juan Francisco,ATL,2012,9,3B,25,93,205,192,17,45,11,0,9,32,1,1,11,70,0.234,0.278,0.432,0.71,88,83,5,1,0,1,2
David Ross,ATL,2012,10,C,35,62,196,176,18,45,7,0,9,23,1,0,18,60,0.256,0.321,0.449,0.77,105,79,5,0,0,2,0
Tyler Pastornicky,ATL,2012,11,SS,22,76,188,169,21,41,6,1,2,13,2,0,10,32,0.243,0.287,0.325,0.613,65,55,5,1,7,1,1
Andrelton Simmons,ATL,2012,12,SS,22,49,182,166,17,48,8,2,3,19,1,0,12,21,0.289,0.335,0.416,0.751,101,69,5,1,0,3,1
Eric Hinske,ATL,2012,13,UT,34,91,147,132,9,26,7,1,2,13,0,0,14,41,0.197,0.272,0.311,0.583,57,41,5,0,0,1,2
Matt Diaz,ATL,2012,14,LF,34,51,118,108,10,24,6,0,2,13,0,0,9,21,0.222,0.28,0.333,0.613,65,36,4,0,0,1,1
Reed Johnson,ATL,2012,15,OF,35,43,105,100,7,27,5,0,0,4,0,1,3,18,0.27,0.305,0.32,0.625,69,32,1,2,0,0,0
Jose Constanza,ATL,2012,16,LF,28,37,86,76,8,19,2,0,0,4,5,2,8,21,0.25,0.321,0.276,0.598,64,21,0,0,2,0,2
Jack Wilson,ATL,2012,17,SS,34,40,77,71,4,12,1,1,0,4,0,0,2,12,0.169,0.189,0.211,0.4,8,15,1,0,3,1,1
Lyle Overbay,ATL,2012,18,1B,35,20,21,20,1,2,1,0,0,0,0,0,1,8,0.1,0.143,0.15,0.293,-21,3,1,0,0,0,0
Jeff Baker,ATL,2012,19,UT,31,14,20,19,1,2,0,0,0,1,0,0,1,10,0.105,0.15,0.105,0.255,-29,2,0,0,0,0,1
J.C. Boscan,ATL,2012,20,C,32,6,10,10,0,2,0,0,0,2,0,0,0,1,0.2,0.2,0.2,0.4,9,2,0,0,0,0,0
Tim Hudson,ATL,2012,21,P,36,29,67,55,4,12,3,0,0,6,0,0,2,18,0.218,0.25,0.273,0.523,41,15,0,1,7,2,0
Tommy Hanson,ATL,2012,22,P,25,31,61,49,0,1,0,0,0,0,0,0,2,30,0.02,0.059,0.02,0.079,-77,1,0,0,10,0,0
Mike Minor,ATL,2012,23,P,24,30,61,55,5,4,1,0,0,0,0,0,2,26,0.073,0.105,0.091,0.196,-46,5,1,0,4,0,0
Kris Medlen,ATL,2012,24,P,26,50,39,33,3,4,1,0,0,2,0,0,4,15,0.121,0.216,0.152,0.368,2,5,0,0,2,0,0
Brandon Beachy,ATL,2012,25,P,25,14,31,27,3,5,1,0,0,4,0,0,2,17,0.185,0.241,0.222,0.464,27,6,0,0,2,0,0
Randall Delgado,ATL,2012,26,P,22,18,28,25,3,6,0,0,0,1,0,0,0,9,0.24,0.24,0.24,0.48,30,6,1,0,3,0,0
Paul Maholm,ATL,2012,27,P,30,11,25,24,1,1,0,0,0,0,0,0,0,16,0.042,0.042,0.042,0.083,-77,1,0,0,1,0,0
Jair Jurrjens,ATL,2012,28,P,26,11,17,13,1,1,0,0,0,0,0,0,1,6,0.077,0.143,0.077,0.22,-38,1,0,0,3,0,0
Ben Sheets,ATL,2012,29,P,33,9,17,13,0,0,0,0,0,0,0,0,1,6,0.0,0.071,0.0,0.071,-78,0,0,0,3,0,0
Luis Avilan,ATL,2012,30,P,22,31,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,81,1,0,0,0,0,0
Cristhian Martinez,ATL,2012,31,P,30,54,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Livan Hernandez,ATL,2012,32,P,37,18,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,52,0,0,0,0,0,0
Julio Teheran,ATL,2012,33,P,21,2,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,52,0,0,0,0,0,0
Jonny Venters,ATL,2012,34,P,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Chad Durbin,ATL,2012,35,P,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Anthony Varvaro,ATL,2012,36,P,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Eric O'Flaherty,ATL,2012,37,P,27,64,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Cory Gearrin,ATL,2012,38,P,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Craig Kimbrel,ATL,2012,39,P,24,63,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Miguel Batista,ATL,2012,40,P,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Peter Moylan,ATL,2012,41,P,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
