NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Jarrod Saltalamacchia,BOS,2012,1,C,27,121,448,405,55,90,17,1,25,59,0,1,38,139,0.222,0.288,0.454,0.742,97,184,5,1,0,4,0
Adrian Gonzalez,BOS,2012,2,1B,30,123,527,484,63,145,37,0,15,86,0,0,31,81,0.3,0.343,0.469,0.812,117,227,9,5,0,7,4
Dustin Pedroia,BOS,2012,3,2B,28,141,623,563,81,163,39,3,15,65,20,6,48,60,0.29,0.347,0.449,0.797,114,253,9,5,1,6,3
Mike Aviles,BOS,2012,4,SS,31,136,546,512,57,128,28,0,13,60,14,6,23,77,0.25,0.282,0.381,0.663,77,195,6,2,3,6,0
Will Middlebrooks,BOS,2012,5,3B,23,75,286,267,34,77,14,0,15,54,4,1,13,70,0.288,0.325,0.509,0.835,121,136,8,3,0,3,0
Daniel Nava,BOS,2012,6,LF,29,88,317,267,38,65,21,0,6,33,3,0,37,63,0.243,0.352,0.39,0.742,101,104,5,9,2,2,1
Jacoby Ellsbury,BOS,2012,7,CF,28,74,323,303,43,82,18,0,4,26,14,3,19,43,0.271,0.313,0.37,0.682,84,112,5,0,0,1,0
Cody Ross,BOS,2012,8,RF,31,130,528,476,70,127,34,1,22,81,2,3,42,129,0.267,0.326,0.481,0.807,115,229,11,3,1,6,3
David Ortiz,BOS,2012,9,DH,36,90,383,324,65,103,26,0,23,60,0,1,56,51,0.318,0.415,0.611,1.026,173,198,6,0,0,3,13
Pedro Ciriaco,BOS,2012,10,3B,26,76,272,259,33,76,15,2,2,19,16,3,8,47,0.293,0.315,0.39,0.705,90,101,2,0,5,0,2
Ryan Sweeney,BOS,2012,11,RF,27,63,219,204,22,53,19,2,0,16,0,0,12,43,0.26,0.303,0.373,0.675,82,76,1,1,1,1,0
Scott Podsednik,BOS,2012,12,OF,36,63,216,199,19,60,7,0,1,12,8,2,6,35,0.302,0.322,0.352,0.674,83,70,3,1,8,2,0
Ryan Lavarnway,BOS,2012,13,UT,24,46,166,153,11,24,8,0,2,12,0,0,11,41,0.157,0.211,0.248,0.459,24,38,4,0,0,2,0
Kevin Youkilis,BOS,2012,14,3B,33,42,165,146,25,34,7,1,4,14,0,0,14,39,0.233,0.315,0.377,0.692,87,55,4,4,0,1,0
Kelly Shoppach,BOS,2012,15,C,32,48,158,140,16,35,12,2,5,17,1,0,11,62,0.25,0.327,0.471,0.798,113,66,2,5,2,0,1
Nick Punto,BOS,2012,16,IF,34,65,148,125,14,25,6,0,1,10,5,0,19,33,0.2,0.301,0.272,0.573,57,34,5,0,2,2,0
Carl Crawford,BOS,2012,17,LF,30,31,125,117,23,33,10,2,3,19,5,0,3,22,0.282,0.306,0.479,0.785,108,56,1,2,1,2,0
Mauro Gomez,BOS,2012,18,UT,27,37,111,102,14,28,5,2,2,17,0,0,8,26,0.275,0.324,0.422,0.746,100,43,4,0,0,1,0
James Loney,BOS,2012,19,1B,28,30,106,100,5,23,2,0,2,8,0,0,5,12,0.23,0.264,0.31,0.574,55,31,5,0,0,1,0
Marlon Byrd,BOS,2012,20,CF,34,34,106,100,9,27,2,0,1,7,0,2,2,21,0.27,0.286,0.32,0.606,64,32,1,1,1,2,0
Ryan Kalish,BOS,2012,21,OF,24,36,103,96,12,22,3,0,0,5,3,2,6,26,0.229,0.272,0.26,0.532,46,25,4,0,0,1,0
Darnell McDonald,BOS,2012,22,LF,33,38,99,84,17,18,7,0,2,9,1,1,12,17,0.214,0.309,0.369,0.678,83,31,1,0,2,1,0
Jose Iglesias,BOS,2012,23,SS,22,25,77,68,5,8,2,0,1,2,1,0,4,16,0.118,0.2,0.191,0.391,7,13,2,3,2,0,0
Danny Valencia,BOS,2012,24,3B,27,10,29,28,1,4,0,0,1,4,0,0,0,6,0.143,0.138,0.25,0.388,2,7,1,0,0,1,0
Brent Lillibridge,BOS,2012,25,UT,28,10,16,16,0,2,0,0,0,0,0,0,0,5,0.125,0.125,0.125,0.25,-32,2,0,0,0,0,0
Che-Hsuan Lin,BOS,2012,26,OF,23,9,12,12,1,3,0,0,0,0,0,0,0,5,0.25,0.25,0.25,0.5,36,3,0,0,0,0,0
Jason Repko,BOS,2012,27,UT,31,5,11,11,0,1,0,0,0,0,0,0,0,4,0.091,0.091,0.091,0.182,-50,1,0,0,0,0,0
Lars Anderson,BOS,2012,28,UT,24,6,8,8,1,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-32,1,0,0,0,0,0
Ivan De Jesus,BOS,2012,29,IF,25,8,8,8,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Nate Spears,BOS,2012,30,UT,27,4,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Guillermo Quiroz,BOS,2012,31,C,30,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Jon Lester,BOS,2012,32,P,28,33,6,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,1,0,1,0,0
Josh Beckett,BOS,2012,33,P,32,21,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,9,1,0,0,0,0,0
Clay Buchholz,BOS,2012,34,P,27,29,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0
Felix Doubront,BOS,2012,35,P,24,29,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0
Daisuke Matsuzaka,BOS,2012,36,P,31,11,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Franklin Morales,BOS,2012,37,P,26,37,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,173,1,0,0,0,0,0
