NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Welington Castillo,CHC,2013,1,C,26,113,428,380,41,104,23,0,8,32,2,0,34,97,0.274,0.349,0.397,0.746,106,151,13,11,1,2,3
Anthony Rizzo,CHC,2013,2,1B,23,160,690,606,71,141,40,2,23,80,6,5,76,127,0.233,0.323,0.419,0.742,103,254,12,6,0,2,7
Darwin Barney,CHC,2013,3,2B,27,141,555,501,49,104,25,1,7,41,4,2,36,64,0.208,0.266,0.303,0.569,57,152,22,6,4,6,5
Starlin Castro,CHC,2013,4,SS,23,161,705,666,59,163,34,2,10,44,9,6,30,129,0.245,0.284,0.347,0.631,73,231,21,7,1,1,0
Luis Valbuena,CHC,2013,5,3B,27,108,391,331,34,72,15,1,12,37,1,4,53,63,0.218,0.331,0.378,0.708,95,125,4,4,1,2,4
Alfonso Soriano,CHC,2013,6,LF,37,93,383,362,47,92,24,1,17,51,10,5,15,89,0.254,0.287,0.467,0.754,104,169,9,3,0,3,2
David DeJesus,CHC,2013,7,CF,33,84,318,284,39,71,19,3,6,27,3,0,29,55,0.25,0.33,0.401,0.732,101,114,3,5,0,0,0
Nate Schierholtz,CHC,2013,8,RF,29,137,503,462,56,116,32,3,21,68,6,3,29,94,0.251,0.301,0.47,0.77,109,217,6,6,1,5,3
Dioner Navarro,CHC,2013,9,C,29,89,266,240,31,72,7,0,13,34,0,1,23,36,0.3,0.365,0.492,0.856,134,118,4,2,0,1,1
Junior Lake,CHC,2013,10,OF,23,64,254,236,26,67,16,0,6,16,4,4,13,68,0.284,0.332,0.428,0.76,108,101,2,4,1,0,0
Ryan Sweeney,CHC,2013,11,CF,28,70,212,192,19,51,13,2,6,19,1,0,17,31,0.266,0.324,0.448,0.772,110,86,3,0,2,1,0
